,time,gene,well,fluorescence,fluorescence_normed
234,11700,cgre,D1,10685.0,0.8366611854983949
235,11750,cgre,D1,10860.0,0.8503641061780597
236,11800,cgre,D1,10937.0,0.8563933912771122
237,11850,cgre,D1,10927.0,0.8556103672382742
238,11900,cgre,D1,11227.0,0.8791010884034139
239,11950,cgre,D1,10788.0,0.8447263330984262
240,12000,cgre,D1,10739.0,0.84088951530812
241,12050,cgre,D1,10783.0,0.8443348210790071
242,12100,cgre,D1,10514.0,0.8232714744342652
243,12150,cgre,D1,11048.0,0.865084958108214
244,12200,cgre,D1,11044.0,0.8647717484926787
245,12250,cgre,D1,11106.0,0.8696264975334743
246,12300,cgre,D1,10826.0,0.8477018244460105
247,12350,cgre,D1,10946.0,0.8570981129120664
248,12400,cgre,D1,11190.0,0.8762038994597134
249,12450,cgre,D1,11110.0,0.8699397071490095
250,12500,cgre,D1,11242.0,0.880275624461671
251,12550,cgre,D1,10784.0,0.8444131234828909
252,12600,cgre,D1,11235.0,0.8797275076344844
253,12650,cgre,D1,11017.0,0.8626575835878162
254,12700,cgre,D1,11206.0,0.8774567379218542
255,12750,cgre,D1,11184.0,0.8757340850364106
256,12800,cgre,D1,10679.0,0.836191371075092
257,12850,cgre,D1,11097.0,0.86892177589852
258,12900,cgre,D1,11145.0,0.8726802912849424
259,12950,cgre,D1,11072.0,0.8669642158014251
260,13000,cgre,D1,11125.0,0.8711142432072665
261,13050,cgre,D1,10973.0,0.859212277816929
262,13100,cgre,D1,11210.0,0.8777699475373894
263,13150,cgre,D1,11212.0,0.877926552345157
264,13200,cgre,D1,11091.0,0.8684519614752173
265,13250,cgre,D1,11277.0,0.883016208597604
266,13300,cgre,D1,11231.0,0.8794142980189492
267,13350,cgre,D1,11057.0,0.8657896797431681
268,13400,cgre,D1,11399.0,0.8925691018714275
269,13450,cgre,D1,11301.0,0.8848954662908152
270,13500,cgre,D1,11301.0,0.8848954662908152
271,13550,cgre,D1,11217.0,0.878318064364576
272,13600,cgre,D1,11395.0,0.8922558922558923
273,13650,cgre,D1,11101.0,0.8692349855140553
274,13700,cgre,D1,11468.0,0.8979719677394096
275,13750,cgre,D1,11113.0,0.8701746143606609
276,13800,cgre,D1,11171.0,0.8747161537859213
277,13850,cgre,D1,11292.0,0.8841907446558609
278,13900,cgre,D1,11248.0,0.8807454388849738
279,13950,cgre,D1,11234.0,0.8796492052306005
280,14000,cgre,D1,11382.0,0.8912379610054029
281,14050,cgre,D1,11194.0,0.8765171090752486
282,14100,cgre,D1,11279.0,0.8831728134053716
283,14150,cgre,D1,11028.0,0.8635189100305379
284,14200,cgre,D1,11106.0,0.8696264975334743
285,14250,cgre,D1,11052.0,0.8653981677237491
286,14300,cgre,D1,11169.0,0.8745595489781536
287,14350,cgre,D1,11291.0,0.8841124422519772
288,14400,cgre,D1,11132.0,0.8716623600344531
289,14450,cgre,D1,11146.0,0.8727585936888262
290,14500,cgre,D1,11471.0,0.898206874951061
291,14550,cgre,D1,11250.0,0.8809020436927414
292,14600,cgre,D1,11234.0,0.8796492052306005
293,14650,cgre,D1,11325.0,0.8867747239840263
294,14700,cgre,D1,11358.0,0.8893587033121917
295,14750,cgre,D1,11313.0,0.8858350951374208
296,14800,cgre,D1,11286.0,0.8837209302325582
297,14850,cgre,D1,11362.0,0.8896719129277268
298,14900,cgre,D1,11015.0,0.8625009787800485
299,14950,cgre,D1,11235.0,0.8797275076344844
300,15000,cgre,D1,11426.0,0.8946832667762901
301,15050,cgre,D1,11588.0,0.9073682562054655
302,15100,cgre,D1,11547.0,0.9041578576462297
303,15150,cgre,D1,11454.0,0.8968757340850364
304,15200,cgre,D1,11662.0,0.9131626340928667
305,15250,cgre,D1,11592.0,0.9076814658210007
306,15300,cgre,D1,11540.0,0.9036097408190431
307,15350,cgre,D1,11411.0,0.893508730718033
308,15400,cgre,D1,11489.0,0.8996163182209694
309,15450,cgre,D1,11546.0,0.904079555242346
310,15500,cgre,D1,11385.0,0.8914728682170543
311,15550,cgre,D1,11393.0,0.8920992874481246
312,15600,cgre,D1,11398.0,0.8924907994675436
313,15650,cgre,D1,11290.0,0.8840341398480933
314,15700,cgre,D1,11615.0,0.9094824211103281
315,15750,cgre,D1,11454.0,0.8968757340850364
316,15800,cgre,D1,11440.0,0.8957795004306632
317,15850,cgre,D1,11190.0,0.8762038994597134
318,15900,cgre,D1,11517.0,0.9018087855297158
319,15950,cgre,D1,11342.0,0.8881058648500509
320,16000,cgre,D1,11292.0,0.8841907446558609
321,16050,cgre,D1,11349.0,0.8886539816772375
322,16100,cgre,D1,11668.0,0.9136324485161694
323,16150,cgre,D1,11317.0,0.8861483047529559
324,16200,cgre,D1,11542.0,0.9037663456268108
325,16250,cgre,D1,11431.0,0.8950747787957091
326,16300,cgre,D1,11541.0,0.903688043222927
327,16350,cgre,D1,11724.0,0.9180173831336622
328,16400,cgre,D1,11437.0,0.8955445932190118
329,16450,cgre,D1,11760.0,0.920836269673479
330,16500,cgre,D1,11540.0,0.9036097408190431
331,16550,cgre,D1,11786.0,0.9228721321744577
332,16600,cgre,D1,11494.0,0.9000078302403883
333,16650,cgre,D1,11749.0,0.9199749432307572
334,16700,cgre,D1,11606.0,0.9087776994753739
335,16750,cgre,D1,11511.0,0.9013389711064129
336,16800,cgre,D1,11342.0,0.8881058648500509
337,16850,cgre,D1,11704.0,0.9164513350559862
338,16900,cgre,D1,11764.0,0.9211494792890141
339,16950,cgre,D1,11474.0,0.8984417821627124
340,17000,cgre,D1,11582.0,0.9068984417821627
341,17050,cgre,D1,11587.0,0.9072899538015817
342,17100,cgre,D1,11915.0,0.9329731422754679
343,17150,cgre,D1,11625.0,0.9102654451491661
344,17200,cgre,D1,11500.0,0.9004776446636912
345,17250,cgre,D1,11557.0,0.9049408816850677
346,17300,cgre,D1,11648.0,0.9120664004384934
347,17350,cgre,D1,11479.0,0.8988332941821314
348,17400,cgre,D1,11537.0,0.9033748336073918
349,17450,cgre,D1,11640.0,0.9114399812074231
350,17500,cgre,D1,11640.0,0.9114399812074231
